N         | 100        | 1k         | 10k        | 20k        | 40k        |
Sequencial| 0.00002657 | 0.00299124 | 0.40154218 | 1.57456918 | 6.81315636 |
1 CPU     | 0.00909835 | 0.01122753 | 0.18939011 | 0.72395137 | 3.76784525 |
2 CPU     | 0.01024944 | 0.01188364 | 0.19302844 | 0.72916026 | 3.78857735 |
4 CPU     | 0.00987593 | 0.01155591 | 0.19353706 | 0.74861413 | 3.39898283 |
8 CPU     | 0.00976286 | 0.01118434 | 0.19238065 | 0.73177906 | 3.61686583 |
16 CPU    | 0.00976917 | 0.01152239 | 0.18939687 | 0.73719391 | 3.64722512 |
Sequencial| 0.00003391 | 0.00304308 | 0.38126693 | 1.45558768 | 8.73754915 |
1 CPU     | 0.01661968 | 0.01450609 | 0.21823021 | 1.26823521 | 5.67660097 |
2 CPU     | 0.01316535 | 0.01615003 | 0.25763123 | 1.16412918 | 4.79868041 |
4 CPU     | 0.00990264 | 0.01238023 | 0.33846147 | 1.22197924 | 4.37994915 |
8 CPU     | 0.01260085 | 0.01437325 | 0.26153348 | 0.87812082 |
